n_estimators,max_depth,criterion,accuracy,precision,recall,f1,preparationTime
10,30,entropy,0.6384408602150536,0.6672771672771672,0.5541666666666667,0.6047619047619048,0.0012407960957523058
50,30,entropy,0.7762096774193549,0.8412698412698413,0.6791666666666667,0.7507936507936508,0.0012407960957523058
100,30,entropy,0.7338709677419355,0.8304843304843305,0.5972222222222222,0.6895238095238095,0.0012407960957523058
300,30,entropy,0.7550403225806451,0.7988636363636363,0.7027777777777778,0.741537236160892,0.0012407960957523058
500,30,entropy,0.7442876344086021,0.8073038073038074,0.6597222222222222,0.7220093656875265,0.0012407960957523058
10,30,entropy,0.722782258064516,0.7547619047619047,0.6597222222222222,0.702235287886011,0.0012407960957523058
50,30,entropy,0.7866263440860215,0.833950363362128,0.7222222222222222,0.7678371011704345,0.0012407960957523058
100,30,entropy,0.7553763440860215,0.8252525252525252,0.6611111111111111,0.7294532627865961,0.0012407960957523058
300,30,entropy,0.7547043010752689,0.810966810966811,0.6805555555555555,0.7358024691358024,0.0012407960957523058
500,30,entropy,0.7651209677419355,0.8141414141414142,0.7013888888888888,0.748705694942254,0.0012407960957523058
10,30,entropy,0.6811155913978494,0.6984126984126985,0.6388888888888888,0.6671610431343468,0.0012407960957523058
50,30,entropy,0.7762096774193549,0.8263888888888888,0.7000000000000001,0.7549603174603173,0.0012407960957523058
100,30,entropy,0.7338709677419355,0.815873015873016,0.6180555555555555,0.6987495263357332,0.0012407960957523058
300,30,entropy,0.7227822580645161,0.7851851851851852,0.6388888888888888,0.6936200716845878,0.0012407960957523058
500,30,entropy,0.7543682795698925,0.811111111111111,0.6805555555555555,0.7325613454645712,0.0012407960957523058
10,50,entropy,0.680779569892473,0.7815476190476192,0.5319444444444444,0.6164130434782608,0.0012407960957523058
50,50,entropy,0.7862903225806451,0.8674242424242425,0.6777777777777777,0.7532051282051282,0.0012407960957523058
100,50,entropy,0.7550403225806451,0.8231768231768232,0.6597222222222222,0.7296722009365687,0.0012407960957523058
300,50,entropy,0.7231182795698925,0.7841269841269841,0.6388888888888888,0.6974358974358975,0.0012407960957523058
500,50,entropy,0.7335349462365591,0.8042735042735042,0.6388888888888888,0.7058650162098438,0.0012407960957523058
10,50,entropy,0.6384408602150536,0.6672771672771672,0.5541666666666667,0.6047619047619048,0.0012407960957523058
50,50,entropy,0.7762096774193549,0.8412698412698413,0.6791666666666667,0.7507936507936508,0.0012407960957523058
100,50,entropy,0.7338709677419355,0.8304843304843305,0.5972222222222222,0.6895238095238095,0.0012407960957523058
300,50,entropy,0.7550403225806451,0.7988636363636363,0.7027777777777778,0.741537236160892,0.0012407960957523058
500,50,entropy,0.7442876344086021,0.8073038073038074,0.6597222222222222,0.7220093656875265,0.0012407960957523058
10,50,entropy,0.722782258064516,0.7547619047619047,0.6597222222222222,0.702235287886011,0.0012407960957523058
50,50,entropy,0.7866263440860215,0.833950363362128,0.7222222222222222,0.7678371011704345,0.0012407960957523058
100,50,entropy,0.7553763440860215,0.8252525252525252,0.6611111111111111,0.7294532627865961,0.0012407960957523058
300,50,entropy,0.7547043010752689,0.810966810966811,0.6805555555555555,0.7358024691358024,0.0012407960957523058
500,50,entropy,0.7651209677419355,0.8141414141414142,0.7013888888888888,0.748705694942254,0.0012407960957523058
10,50,entropy,0.6811155913978494,0.6984126984126985,0.6388888888888888,0.6671610431343468,0.0012407960957523058
50,50,entropy,0.7762096774193549,0.8263888888888888,0.7000000000000001,0.7549603174603173,0.0012407960957523058
100,50,entropy,0.7338709677419355,0.815873015873016,0.6180555555555555,0.6987495263357332,0.0012407960957523058
300,50,entropy,0.7227822580645161,0.7851851851851852,0.6388888888888888,0.6936200716845878,0.0012407960957523058
500,50,entropy,0.7543682795698925,0.811111111111111,0.6805555555555555,0.7325613454645712,0.0012407960957523058
10,100,entropy,0.680779569892473,0.7815476190476192,0.5319444444444444,0.6164130434782608,0.0012407960957523058
50,100,entropy,0.7862903225806451,0.8674242424242425,0.6777777777777777,0.7532051282051282,0.0012407960957523058
100,100,entropy,0.7550403225806451,0.8231768231768232,0.6597222222222222,0.7296722009365687,0.0012407960957523058
300,100,entropy,0.7231182795698925,0.7841269841269841,0.6388888888888888,0.6974358974358975,0.0012407960957523058
500,100,entropy,0.7335349462365591,0.8042735042735042,0.6388888888888888,0.7058650162098438,0.0012407960957523058
10,100,entropy,0.6384408602150536,0.6672771672771672,0.5541666666666667,0.6047619047619048,0.0012407960957523058
50,100,entropy,0.7762096774193549,0.8412698412698413,0.6791666666666667,0.7507936507936508,0.0012407960957523058
100,100,entropy,0.7338709677419355,0.8304843304843305,0.5972222222222222,0.6895238095238095,0.0012407960957523058
300,100,entropy,0.7550403225806451,0.7988636363636363,0.7027777777777778,0.741537236160892,0.0012407960957523058
500,100,entropy,0.7442876344086021,0.8073038073038074,0.6597222222222222,0.7220093656875265,0.0012407960957523058
10,100,entropy,0.722782258064516,0.7547619047619047,0.6597222222222222,0.702235287886011,0.0012407960957523058
50,100,entropy,0.7866263440860215,0.833950363362128,0.7222222222222222,0.7678371011704345,0.0012407960957523058
100,100,entropy,0.7553763440860215,0.8252525252525252,0.6611111111111111,0.7294532627865961,0.0012407960957523058
300,100,entropy,0.7547043010752689,0.810966810966811,0.6805555555555555,0.7358024691358024,0.0012407960957523058
500,100,entropy,0.7651209677419355,0.8141414141414142,0.7013888888888888,0.748705694942254,0.0012407960957523058
10,100,entropy,0.6811155913978494,0.6984126984126985,0.6388888888888888,0.6671610431343468,0.0012407960957523058
50,100,entropy,0.7762096774193549,0.8263888888888888,0.7000000000000001,0.7549603174603173,0.0012407960957523058
100,100,entropy,0.7338709677419355,0.815873015873016,0.6180555555555555,0.6987495263357332,0.0012407960957523058
300,100,entropy,0.7227822580645161,0.7851851851851852,0.6388888888888888,0.6936200716845878,0.0012407960957523058
500,100,entropy,0.7543682795698925,0.811111111111111,0.6805555555555555,0.7325613454645712,0.0012407960957523058
10,300,entropy,0.680779569892473,0.7815476190476192,0.5319444444444444,0.6164130434782608,0.0012407960957523058
50,300,entropy,0.7862903225806451,0.8674242424242425,0.6777777777777777,0.7532051282051282,0.0012407960957523058
100,300,entropy,0.7550403225806451,0.8231768231768232,0.6597222222222222,0.7296722009365687,0.0012407960957523058
300,300,entropy,0.7231182795698925,0.7841269841269841,0.6388888888888888,0.6974358974358975,0.0012407960957523058
500,300,entropy,0.7335349462365591,0.8042735042735042,0.6388888888888888,0.7058650162098438,0.0012407960957523058
10,300,entropy,0.6384408602150536,0.6672771672771672,0.5541666666666667,0.6047619047619048,0.0012407960957523058
50,300,entropy,0.7762096774193549,0.8412698412698413,0.6791666666666667,0.7507936507936508,0.0012407960957523058
100,300,entropy,0.7338709677419355,0.8304843304843305,0.5972222222222222,0.6895238095238095,0.0012407960957523058
300,300,entropy,0.7550403225806451,0.7988636363636363,0.7027777777777778,0.741537236160892,0.0012407960957523058
500,300,entropy,0.7442876344086021,0.8073038073038074,0.6597222222222222,0.7220093656875265,0.0012407960957523058
10,300,entropy,0.722782258064516,0.7547619047619047,0.6597222222222222,0.702235287886011,0.0012407960957523058
50,300,entropy,0.7866263440860215,0.833950363362128,0.7222222222222222,0.7678371011704345,0.0012407960957523058
100,300,entropy,0.7553763440860215,0.8252525252525252,0.6611111111111111,0.7294532627865961,0.0012407960957523058
300,300,entropy,0.7547043010752689,0.810966810966811,0.6805555555555555,0.7358024691358024,0.0012407960957523058
500,300,entropy,0.7651209677419355,0.8141414141414142,0.7013888888888888,0.748705694942254,0.0012407960957523058
10,300,entropy,0.6811155913978494,0.6984126984126985,0.6388888888888888,0.6671610431343468,0.0012407960957523058
50,300,entropy,0.7762096774193549,0.8263888888888888,0.7000000000000001,0.7549603174603173,0.0012407960957523058
100,300,entropy,0.7338709677419355,0.815873015873016,0.6180555555555555,0.6987495263357332,0.0012407960957523058
300,300,entropy,0.7227822580645161,0.7851851851851852,0.6388888888888888,0.6936200716845878,0.0012407960957523058
500,300,entropy,0.7543682795698925,0.811111111111111,0.6805555555555555,0.7325613454645712,0.0012407960957523058
10,500,entropy,0.680779569892473,0.7815476190476192,0.5319444444444444,0.6164130434782608,0.0012407960957523058
50,500,entropy,0.7862903225806451,0.8674242424242425,0.6777777777777777,0.7532051282051282,0.0012407960957523058
100,500,entropy,0.7550403225806451,0.8231768231768232,0.6597222222222222,0.7296722009365687,0.0012407960957523058
300,500,entropy,0.7231182795698925,0.7841269841269841,0.6388888888888888,0.6974358974358975,0.0012407960957523058
500,500,entropy,0.7335349462365591,0.8042735042735042,0.6388888888888888,0.7058650162098438,0.0012407960957523058
10,500,entropy,0.6384408602150536,0.6672771672771672,0.5541666666666667,0.6047619047619048,0.0012407960957523058
50,500,entropy,0.7762096774193549,0.8412698412698413,0.6791666666666667,0.7507936507936508,0.0012407960957523058
100,500,entropy,0.7338709677419355,0.8304843304843305,0.5972222222222222,0.6895238095238095,0.0012407960957523058
300,500,entropy,0.7550403225806451,0.7988636363636363,0.7027777777777778,0.741537236160892,0.0012407960957523058
500,500,entropy,0.7442876344086021,0.8073038073038074,0.6597222222222222,0.7220093656875265,0.0012407960957523058
10,500,entropy,0.722782258064516,0.7547619047619047,0.6597222222222222,0.702235287886011,0.0012407960957523058
50,500,entropy,0.7866263440860215,0.833950363362128,0.7222222222222222,0.7678371011704345,0.0012407960957523058
100,500,entropy,0.7553763440860215,0.8252525252525252,0.6611111111111111,0.7294532627865961,0.0012407960957523058
300,500,entropy,0.7547043010752689,0.810966810966811,0.6805555555555555,0.7358024691358024,0.0012407960957523058
500,500,entropy,0.7651209677419355,0.8141414141414142,0.7013888888888888,0.748705694942254,0.0012407960957523058
10,500,entropy,0.6811155913978494,0.6984126984126985,0.6388888888888888,0.6671610431343468,0.0012407960957523058
50,500,entropy,0.7762096774193549,0.8263888888888888,0.7000000000000001,0.7549603174603173,0.0012407960957523058
100,500,entropy,0.7338709677419355,0.815873015873016,0.6180555555555555,0.6987495263357332,0.0012407960957523058
300,500,entropy,0.7227822580645161,0.7851851851851852,0.6388888888888888,0.6936200716845878,0.0012407960957523058
500,500,entropy,0.7543682795698925,0.811111111111111,0.6805555555555555,0.7325613454645712,0.0012407960957523058
