pca__n_components,rf__n_estimators,rf__criterion,rf__max_depth,rf__min_samples_split,rf__min_samples_leaf,threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std
180,10,entropy,100,5,2,0.4,0.8427118644067797,0.03098433550312594,0.4666666666666666,0.3681787005729087,0.22222222222222224,0.17568209223157663,0.2759854180906812,0.18716851744505986,0.234690825623953,0.21366911818186263
180,10,entropy,100,5,2,0.5,0.8728248587570622,0.023042433658854795,0.9,0.22360679774997896,0.17777777777777776,0.12668615834434865,0.28181818181818186,0.1939157182518322,0.32244463292641096,0.22490442347680636
180,10,entropy,100,5,2,0.6,0.8594915254237288,0.015369672039525571,1.0,0.0,0.06666666666666667,0.09938079899999065,0.11272727272727275,0.1648440284602638,0.15039098380433108,0.21116359566845017
180,10,entropy,100,5,2,0.7000000000000001,0.8561581920903955,0.009648867372810753,1.0,0.0,0.04444444444444444,0.06085806194501846,0.08,0.10954451150103323,0.12396463866126532,0.1697455723193801
180,10,entropy,100,5,2,0.8,0.8528248587570622,0.007815726176416418,1.0,0.0,0.02222222222222222,0.049690399499995326,0.04,0.0894427190999916,0.06198231933063266,0.13859667942639392
180,10,entropy,100,5,2,0.9,0.8494915254237287,0.0011369837173727689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,10,entropy,300,2,1,0.1,0.47847457627118645,0.04796082766983198,0.18285714285714286,0.024478349152088564,0.7333333333333333,0.23040490392586357,0.29122402807276754,0.050480452015685746,0.12709443464889733,0.11060613234288248
180,10,entropy,300,2,1,0.2,0.6992090395480226,0.03740426617331911,0.23035714285714284,0.07166379918326048,0.5111111111111111,0.32960882164869615,0.308632183908046,0.13872008740728234,0.17938733162633097,0.1808913801793925
180,10,entropy,300,2,1,0.30000000000000004,0.8628813559322033,0.02466507755155095,0.665079365079365,0.218246753127493,0.28888888888888886,0.2018433569398328,0.3569191919191919,0.18396214199330976,0.3488382511203817,0.14187214331831785
180,10,entropy,300,2,1,0.4,0.8628813559322033,0.02466507755155095,0.665079365079365,0.218246753127493,0.28888888888888886,0.2018433569398328,0.3569191919191919,0.18396214199330976,0.3488382511203817,0.14187214331831785
180,10,entropy,300,2,1,0.5,0.8728813559322035,0.009585807627659376,0.8833333333333332,0.16244657241348273,0.2,0.09296222517045283,0.31170163170163173,0.11243968552270643,0.3684980709988304,0.07098107659741512
180,10,entropy,300,2,1,0.6,0.8728813559322035,0.009585807627659376,0.95,0.11180339887498948,0.17777777777777776,0.09938079899999064,0.28503496503496506,0.12147479159845154,0.36408949182179545,0.07441944795795802
180,10,entropy,300,2,1,0.7000000000000001,0.8528248587570622,0.007815726176416418,1.0,0.0,0.02222222222222222,0.049690399499995326,0.04,0.0894427190999916,0.06198231933063266,0.13859667942639392
180,10,entropy,300,2,1,0.8,0.8528248587570622,0.007815726176416418,1.0,0.0,0.02222222222222222,0.049690399499995326,0.04,0.0894427190999916,0.06198231933063266,0.13859667942639392
180,10,entropy,300,2,1,0.9,0.8494915254237287,0.0011369837173727689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,10,entropy,300,2,2,0.1,0.5053672316384181,0.06019402168336203,0.21339697957156237,0.02475384199778979,0.8444444444444444,0.1266861583443487,0.3395703058681782,0.034869546308650946,0.2150533099943984,0.07159438232335802
180,10,entropy,300,2,2,0.2,0.7024858757062147,0.038575305559191156,0.26586834733893555,0.023699366196185234,0.5777777777777777,0.24088314876309777,0.3566829566829567,0.06760936619913122,0.23105334584210505,0.10162734121926179
180,10,entropy,300,2,2,0.30000000000000004,0.8428248587570621,0.018813007915096817,0.44340659340659344,0.1151816634798284,0.31111111111111106,0.27666443551086073,0.33094405594405596,0.19323876640595428,0.2747038712534728,0.18536305188035157
180,10,entropy,300,2,2,0.4,0.8527683615819208,0.01497628116104052,0.4444444444444445,0.2576005137637696,0.2444444444444444,0.21372648957412607,0.29414141414141415,0.21225873368007028,0.25242398646412295,0.2013949359483812
180,10,entropy,300,2,2,0.5,0.8761581920903956,0.019907339052958037,0.95,0.11180339887498948,0.2,0.14487116456005886,0.305034965034965,0.20616589616650707,0.34943246268669553,0.21263733973495735
180,10,entropy,300,2,2,0.6,0.862824858757062,0.01875033913958033,1.0,0.0,0.08888888888888888,0.12171612389003691,0.14545454545454545,0.19917183909278768,0.17681732894739688,0.24211709905575113
180,10,entropy,300,2,2,0.7000000000000001,0.8528248587570622,0.007815726176416418,1.0,0.0,0.02222222222222222,0.049690399499995326,0.04,0.0894427190999916,0.06198231933063266,0.13859667942639392
180,10,entropy,300,2,2,0.8,0.8528248587570622,0.007815726176416418,1.0,0.0,0.02222222222222222,0.049690399499995326,0.04,0.0894427190999916,0.06198231933063266,0.13859667942639392
180,10,entropy,300,2,2,0.9,0.8494915254237287,0.0011369837173727689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,10,entropy,300,5,1,0.1,0.532090395480226,0.056295756780407734,0.20485408158583032,0.041850330278602646,0.7777777777777778,0.31426968052735443,0.32118314485831334,0.0827056123809746,0.19816764287631258,0.16195857907880828
180,10,entropy,300,5,1,0.2,0.7426553672316384,0.05260574211572569,0.29306878306878303,0.029952885187203005,0.5111111111111111,0.2675909906398288,0.35498084291187737,0.08360019751959917,0.2400568126016262,0.10176134085009465
180,10,entropy,300,5,1,0.30000000000000004,0.8461016949152542,0.01465854022601371,0.4666666666666667,0.10274023338281627,0.3111111111111111,0.16480441082434807,0.361453634085213,0.1386078663974645,0.29451047228954363,0.13011712423865693
180,10,entropy,300,5,1,0.4,0.8594350282485875,0.03512413975133641,0.5466666666666666,0.2459110046789737,0.26666666666666666,0.14907119849998596,0.35641025641025637,0.18676649563750158,0.3138320869627522,0.2085712056152721
180,10,entropy,300,5,1,0.5,0.8795480225988701,0.014509713149166766,0.95,0.11180339887498948,0.22222222222222224,0.1111111111111111,0.34503496503496506,0.14142446831663352,0.41133090874571276,0.10148108328629558
180,10,entropy,300,5,1,0.6,0.8728813559322035,0.019226686809023324,1.0,0.0,0.15555555555555553,0.12668615834434865,0.25272727272727274,0.18899473078491583,0.32151316611789843,0.2053198549233765
180,10,entropy,300,5,1,0.7000000000000001,0.8494915254237287,0.0011369837173727689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,10,entropy,300,5,1,0.8,0.8494915254237287,0.0011369837173727689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,10,entropy,300,5,1,0.9,0.8494915254237287,0.0011369837173727689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,10,entropy,300,5,2,0.1,0.5051977401129943,0.04578215043666172,0.1970879664997312,0.029928539115919122,0.7555555555555555,0.19876159799998128,0.311606390265761,0.052818670853487786,0.1604844100993296,0.11580908624070209
180,10,entropy,300,5,2,0.2,0.695593220338983,0.03475931020625802,0.2494809737988149,0.06283598912193321,0.5555555555555556,0.2939723678960656,0.33785278413424863,0.10810548260809509,0.20827717492475836,0.16052143030833635
180,10,entropy,300,5,2,0.30000000000000004,0.8394915254237288,0.030087331789865612,0.45499999999999996,0.17634404504326825,0.3555555555555555,0.30832082056692456,0.36069812540400775,0.19019073369416278,0.3003513327421544,0.20862367308643837
180,10,entropy,300,5,2,0.4,0.8427118644067797,0.03098433550312594,0.4666666666666666,0.3681787005729087,0.22222222222222224,0.17568209223157663,0.2759854180906812,0.18716851744505986,0.234690825623953,0.21366911818186263
180,10,entropy,300,5,2,0.5,0.8728248587570622,0.023042433658854795,0.9,0.22360679774997896,0.17777777777777776,0.12668615834434865,0.28181818181818186,0.1939157182518322,0.32244463292641096,0.22490442347680636
180,10,entropy,300,5,2,0.6,0.8594915254237288,0.015369672039525571,1.0,0.0,0.06666666666666667,0.09938079899999065,0.11272727272727275,0.1648440284602638,0.15039098380433108,0.21116359566845017
180,10,entropy,300,5,2,0.7000000000000001,0.8561581920903955,0.009648867372810753,1.0,0.0,0.04444444444444444,0.06085806194501846,0.08,0.10954451150103323,0.12396463866126532,0.1697455723193801
180,10,entropy,300,5,2,0.8,0.8528248587570622,0.007815726176416418,1.0,0.0,0.02222222222222222,0.049690399499995326,0.04,0.0894427190999916,0.06198231933063266,0.13859667942639392
180,10,entropy,300,5,2,0.9,0.8494915254237287,0.0011369837173727689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,10,entropy,500,2,1,0.1,0.47847457627118645,0.04796082766983198,0.18285714285714286,0.024478349152088564,0.7333333333333333,0.23040490392586357,0.29122402807276754,0.050480452015685746,0.12709443464889733,0.11060613234288248
180,10,entropy,500,2,1,0.2,0.6992090395480226,0.03740426617331911,0.23035714285714284,0.07166379918326048,0.5111111111111111,0.32960882164869615,0.308632183908046,0.13872008740728234,0.17938733162633097,0.1808913801793925
180,10,entropy,500,2,1,0.30000000000000004,0.8628813559322033,0.02466507755155095,0.665079365079365,0.218246753127493,0.28888888888888886,0.2018433569398328,0.3569191919191919,0.18396214199330976,0.3488382511203817,0.14187214331831785
180,10,entropy,500,2,1,0.4,0.8628813559322033,0.02466507755155095,0.665079365079365,0.218246753127493,0.28888888888888886,0.2018433569398328,0.3569191919191919,0.18396214199330976,0.3488382511203817,0.14187214331831785
180,10,entropy,500,2,1,0.5,0.8728813559322035,0.009585807627659376,0.8833333333333332,0.16244657241348273,0.2,0.09296222517045283,0.31170163170163173,0.11243968552270643,0.3684980709988304,0.07098107659741512
180,10,entropy,500,2,1,0.6,0.8728813559322035,0.009585807627659376,0.95,0.11180339887498948,0.17777777777777776,0.09938079899999064,0.28503496503496506,0.12147479159845154,0.36408949182179545,0.07441944795795802
180,10,entropy,500,2,1,0.7000000000000001,0.8528248587570622,0.007815726176416418,1.0,0.0,0.02222222222222222,0.049690399499995326,0.04,0.0894427190999916,0.06198231933063266,0.13859667942639392
180,10,entropy,500,2,1,0.8,0.8528248587570622,0.007815726176416418,1.0,0.0,0.02222222222222222,0.049690399499995326,0.04,0.0894427190999916,0.06198231933063266,0.13859667942639392
180,10,entropy,500,2,1,0.9,0.8494915254237287,0.0011369837173727689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,10,entropy,500,2,2,0.1,0.5053672316384181,0.06019402168336203,0.21339697957156237,0.02475384199778979,0.8444444444444444,0.1266861583443487,0.3395703058681782,0.034869546308650946,0.2150533099943984,0.07159438232335802
180,10,entropy,500,2,2,0.2,0.7024858757062147,0.038575305559191156,0.26586834733893555,0.023699366196185234,0.5777777777777777,0.24088314876309777,0.3566829566829567,0.06760936619913122,0.23105334584210505,0.10162734121926179
180,10,entropy,500,2,2,0.30000000000000004,0.8428248587570621,0.018813007915096817,0.44340659340659344,0.1151816634798284,0.31111111111111106,0.27666443551086073,0.33094405594405596,0.19323876640595428,0.2747038712534728,0.18536305188035157
180,10,entropy,500,2,2,0.4,0.8527683615819208,0.01497628116104052,0.4444444444444445,0.2576005137637696,0.2444444444444444,0.21372648957412607,0.29414141414141415,0.21225873368007028,0.25242398646412295,0.2013949359483812
180,10,entropy,500,2,2,0.5,0.8761581920903956,0.019907339052958037,0.95,0.11180339887498948,0.2,0.14487116456005886,0.305034965034965,0.20616589616650707,0.34943246268669553,0.21263733973495735
180,10,entropy,500,2,2,0.6,0.862824858757062,0.01875033913958033,1.0,0.0,0.08888888888888888,0.12171612389003691,0.14545454545454545,0.19917183909278768,0.17681732894739688,0.24211709905575113
180,10,entropy,500,2,2,0.7000000000000001,0.8528248587570622,0.007815726176416418,1.0,0.0,0.02222222222222222,0.049690399499995326,0.04,0.0894427190999916,0.06198231933063266,0.13859667942639392
180,10,entropy,500,2,2,0.8,0.8528248587570622,0.007815726176416418,1.0,0.0,0.02222222222222222,0.049690399499995326,0.04,0.0894427190999916,0.06198231933063266,0.13859667942639392
180,10,entropy,500,2,2,0.9,0.8494915254237287,0.0011369837173727689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,10,entropy,500,5,1,0.1,0.532090395480226,0.056295756780407734,0.20485408158583032,0.041850330278602646,0.7777777777777778,0.31426968052735443,0.32118314485831334,0.0827056123809746,0.19816764287631258,0.16195857907880828
180,10,entropy,500,5,1,0.2,0.7426553672316384,0.05260574211572569,0.29306878306878303,0.029952885187203005,0.5111111111111111,0.2675909906398288,0.35498084291187737,0.08360019751959917,0.2400568126016262,0.10176134085009465
180,10,entropy,500,5,1,0.30000000000000004,0.8461016949152542,0.01465854022601371,0.4666666666666667,0.10274023338281627,0.3111111111111111,0.16480441082434807,0.361453634085213,0.1386078663974645,0.29451047228954363,0.13011712423865693
180,10,entropy,500,5,1,0.4,0.8594350282485875,0.03512413975133641,0.5466666666666666,0.2459110046789737,0.26666666666666666,0.14907119849998596,0.35641025641025637,0.18676649563750158,0.3138320869627522,0.2085712056152721
180,10,entropy,500,5,1,0.5,0.8795480225988701,0.014509713149166766,0.95,0.11180339887498948,0.22222222222222224,0.1111111111111111,0.34503496503496506,0.14142446831663352,0.41133090874571276,0.10148108328629558
180,10,entropy,500,5,1,0.6,0.8728813559322035,0.019226686809023324,1.0,0.0,0.15555555555555553,0.12668615834434865,0.25272727272727274,0.18899473078491583,0.32151316611789843,0.2053198549233765
180,10,entropy,500,5,1,0.7000000000000001,0.8494915254237287,0.0011369837173727689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,10,entropy,500,5,1,0.8,0.8494915254237287,0.0011369837173727689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,10,entropy,500,5,1,0.9,0.8494915254237287,0.0011369837173727689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,10,entropy,500,5,2,0.1,0.5051977401129943,0.04578215043666172,0.1970879664997312,0.029928539115919122,0.7555555555555555,0.19876159799998128,0.311606390265761,0.052818670853487786,0.1604844100993296,0.11580908624070209
180,10,entropy,500,5,2,0.2,0.695593220338983,0.03475931020625802,0.2494809737988149,0.06283598912193321,0.5555555555555556,0.2939723678960656,0.33785278413424863,0.10810548260809509,0.20827717492475836,0.16052143030833635
180,10,entropy,500,5,2,0.30000000000000004,0.8394915254237288,0.030087331789865612,0.45499999999999996,0.17634404504326825,0.3555555555555555,0.30832082056692456,0.36069812540400775,0.19019073369416278,0.3003513327421544,0.20862367308643837
180,10,entropy,500,5,2,0.4,0.8393785310734463,0.03510880112773386,0.45939393939393935,0.3701785239281098,0.22222222222222224,0.17568209223157663,0.2717748917748918,0.1832857694475623,0.22876386952479583,0.21134837781878613
180,10,entropy,500,5,2,0.5,0.8728248587570622,0.023042433658854795,0.9,0.22360679774997896,0.17777777777777776,0.12668615834434865,0.28181818181818186,0.1939157182518322,0.32244463292641096,0.22490442347680636
180,10,entropy,500,5,2,0.6,0.8594915254237288,0.015369672039525571,1.0,0.0,0.06666666666666667,0.09938079899999065,0.11272727272727275,0.1648440284602638,0.15039098380433108,0.21116359566845017
180,10,entropy,500,5,2,0.7000000000000001,0.8561581920903955,0.009648867372810753,1.0,0.0,0.04444444444444444,0.06085806194501846,0.08,0.10954451150103323,0.12396463866126532,0.1697455723193801
180,10,entropy,500,5,2,0.8,0.8528248587570622,0.007815726176416418,1.0,0.0,0.02222222222222222,0.049690399499995326,0.04,0.0894427190999916,0.06198231933063266,0.13859667942639392
180,10,entropy,500,5,2,0.9,0.8494915254237287,0.0011369837173727689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,10,gini,10,2,1,0.1,0.5320338983050847,0.055417148604122606,0.21843324889764518,0.015335765919305595,0.8222222222222222,0.16850834320114555,0.343467310004385,0.0313834235873663,0.22268783036924522,0.07131173059701132
180,10,gini,10,2,1,0.2,0.7159887005649718,0.060092056482717655,0.29761808367071524,0.06257001920338466,0.6444444444444445,0.2652741419180738,0.3956590535900881,0.0984361777393035,0.28645266059517166,0.14727094827624826
180,10,gini,10,2,1,0.30000000000000004,0.8160451977401131,0.0513889093776298,0.3329004329004329,0.22331830843899453,0.4666666666666666,0.33701668640229115,0.38605644546147977,0.26455270150289445,0.2925245230001067,0.28161912267962075
180,10,gini,10,2,1,0.4,0.8394350282485876,0.05093471796907956,0.3658041958041958,0.257082711141267,0.4444444444444445,0.35136418446315326,0.39882915845764144,0.29489719404093573,0.317334756511894,0.3080258444220966
180,10,gini,10,2,1,0.5,0.8661581920903954,0.033668832527467406,0.7055555555555555,0.23207331749117138,0.28888888888888886,0.23040490392586357,0.3508935508935509,0.2609691030886174,0.3230834304264644,0.24485531258704687
180,10,gini,10,2,1,0.6,0.8728248587570622,0.0230424336588548,0.8,0.2091650066335189,0.22222222222222224,0.15713484026367722,0.320979020979021,0.2202020064934669,0.3252627892346428,0.2268028008238354
180,10,gini,10,2,1,0.7000000000000001,0.8561581920903955,0.0152312025285918,0.9,0.22360679774997896,0.06666666666666667,0.09938079899999065,0.10909090909090909,0.16262312563634834,0.12481223219816251,0.1940633439729639
180,10,gini,10,2,1,0.8,0.8561581920903955,0.009648867372810756,1.0,0.0,0.04444444444444444,0.06085806194501846,0.08,0.10954451150103324,0.12396463866126532,0.16974557231938012
180,10,gini,10,2,1,0.9,0.8561581920903955,0.009648867372810756,1.0,0.0,0.04444444444444444,0.06085806194501846,0.08,0.10954451150103324,0.12396463866126532,0.16974557231938012
180,10,gini,10,2,2,0.1,0.542090395480226,0.061961072995029676,0.20991410887962614,0.03126455537780175,0.7555555555555555,0.24088314876309777,0.32603668261562996,0.05987419317847384,0.19096192348917096,0.1277524852616218
180,10,gini,10,2,2,0.2,0.7091525423728814,0.06237842080126082,0.27196102905485053,0.09151480426721287,0.5777777777777777,0.27666443551086073,0.36590501792114694,0.13794382601170854,0.23712175024604765,0.20114112473338472
180,10,gini,10,2,2,0.30000000000000004,0.8228813559322035,0.08839212810262592,0.44350649350649346,0.23113873290124215,0.4888888888888888,0.30020569080236215,0.45091860084995095,0.24494781551558645,0.3567742484259215,0.29859571236942
180,10,gini,10,2,2,0.4,0.85954802259887,0.055967645564728295,0.5603174603174603,0.26415579055368743,0.37777777777777777,0.21659542988464361,0.43888888888888883,0.22926344757737055,0.378993139377222,0.2560390082299159
180,10,gini,10,2,2,0.5,0.866271186440678,0.035132658315251475,0.6666666666666666,0.33333333333333337,0.22222222222222224,0.13608276348795434,0.32913752913752914,0.1843493497707723,0.3290509792229782,0.22150837481902982
