n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std
10,entropy,50.0,2,1,0.2,0.7294350282485876,0.0836333295911792,0.35260935143288086,0.08725548207255815,0.8222222222222222,0.09938079899999067,0.48721611721611724,0.08338266864697606,0.40708728277942974,0.1065106165077382
10,entropy,50.0,2,1,0.30000000000000004,0.8561581920903955,0.02546872979034576,0.5277777777777778,0.09160351359911749,0.4444444444444445,0.13608276348795434,0.4746103569632981,0.11779521681214666,0.3993940268735078,0.11707810896504085
10,entropy,50.0,2,1,0.4,0.8561581920903955,0.02546872979034576,0.5277777777777778,0.09160351359911749,0.4444444444444445,0.13608276348795434,0.4746103569632981,0.11779521681214666,0.3993940268735078,0.11707810896504085
10,entropy,50.0,2,1,0.5,0.8627683615819208,0.028177452808147912,0.51,0.31701734968294715,0.26666666666666666,0.16850834320114555,0.34813186813186814,0.21693543503326257,0.3061881954974516,0.23057379550124868
10,entropy,50.0,2,1,0.6,0.8761581920903956,0.03085219123052661,0.8333333333333333,0.23570226039551587,0.22222222222222224,0.17568209223157663,0.3261072261072261,0.2455288030996079,0.3392600045427521,0.26021387553240616
10,entropy,50.0,2,1,0.7000000000000001,0.8594915254237288,0.009865998667833114,1.0,0.0,0.06666666666666667,0.06085806194501846,0.12000000000000002,0.10954451150103323,0.18594695799189798,0.16974557231938012
10,entropy,50.0,2,1,0.8,0.8594915254237288,0.009865998667833114,1.0,0.0,0.06666666666666667,0.06085806194501846,0.12000000000000002,0.10954451150103323,0.18594695799189798,0.16974557231938012
10,entropy,50.0,2,1,0.9,0.8561581920903955,0.009648867372810756,1.0,0.0,0.04444444444444444,0.06085806194501846,0.08,0.10954451150103324,0.12396463866126532,0.16974557231938012
10,entropy,50.0,2,2,0.1,0.5656497175141244,0.07691675940292095,0.25290980094183757,0.032698800213429136,0.9333333333333333,0.09938079899999067,0.3954791438903372,0.03316076366541894,0.31807041193593083,0.048045826045340176
10,entropy,50.0,2,2,0.2,0.7794350282485876,0.07716245315127214,0.40341798552324865,0.10827442476442072,0.7777777777777778,0.0785674201318386,0.5259670437089792,0.10290595138268563,0.44378489064099025,0.1291489481799213
10,entropy,50.0,2,2,0.30000000000000004,0.8328813559322035,0.06945838859014282,0.4943956043956044,0.20325081157107097,0.4666666666666667,0.14487116456005888,0.4669002050580998,0.1557846965768636,0.3777810083744669,0.19420391390631908
10,entropy,50.0,2,2,0.4,0.8494915254237287,0.052716890175268705,0.5416666666666667,0.24650332429581734,0.3333333333333333,0.13608276348795434,0.4048265460030166,0.1678130553926306,0.34092199322533373,0.2052659481350113
10,entropy,50.0,2,2,0.5,0.8594915254237288,0.03050690516992864,0.6833333333333333,0.32489314482696546,0.17777777777777776,0.09938079899999064,0.2737995337995338,0.14405439758978614,0.28877046229059733,0.1774210877541072
10,entropy,50.0,2,2,0.6,0.8695480225988701,0.007768104772334472,1.0,0.0,0.13333333333333333,0.049690399499995326,0.23272727272727273,0.07318040653635677,0.3362540685246137,0.05913826951975007
10,entropy,50.0,2,2,0.7000000000000001,0.8594915254237288,0.009865998667833114,1.0,0.0,0.06666666666666667,0.06085806194501846,0.12000000000000002,0.10954451150103323,0.18594695799189798,0.16974557231938012
10,entropy,50.0,2,2,0.8,0.8561581920903955,0.00964886737281072,1.0,0.0,0.04444444444444444,0.06085806194501846,0.08,0.10954451150103323,0.12396463866126532,0.1697455723193801
10,entropy,50.0,2,2,0.9,0.8494915254237287,0.0011369837173727689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,entropy,50.0,5,1,0.1,0.5854237288135593,0.034179973842780154,0.2580152717652718,0.014572971434167754,0.9333333333333333,0.09938079899999067,0.40359131383521624,0.022512932773181508,0.32995624494317993,0.04992820765976105
10,entropy,50.0,5,1,0.2,0.7624858757062147,0.06627933781225141,0.38265480895915677,0.09199454262133304,0.8444444444444444,0.12668615834434868,0.52279651352232,0.09768750988898749,0.4529951628382303,0.12768765581583366
10,entropy,50.0,5,1,0.30000000000000004,0.8662146892655367,0.037281500864967176,0.5809523809523809,0.15599326981237804,0.5555555555555556,0.13608276348795434,0.5560224089635855,0.10160579382137852,0.48600394570140626,0.1265692086725694
10,entropy,50.0,5,1,0.4,0.8762146892655368,0.04814432893331744,0.675,0.2506934826081888,0.4,0.14907119849998599,0.49344537815126055,0.18226725236753938,0.4520995040694629,0.21064294013124343
10,entropy,50.0,5,1,0.5,0.8728248587570622,0.04052239948514691,0.6599999999999999,0.29025850547399984,0.28888888888888886,0.16850834320114555,0.3968031968031968,0.21662709543302755,0.37800513892102644,0.24063519884814205
10,entropy,50.0,5,1,0.6,0.8728813559322035,0.019226686809023313,0.8333333333333333,0.23570226039551587,0.2,0.09296222517045283,0.3157575757575758,0.1302748383878793,0.36232531301939747,0.13816608657589796
10,entropy,50.0,5,1,0.7000000000000001,0.8594915254237288,0.009865998667833114,1.0,0.0,0.06666666666666667,0.06085806194501846,0.12000000000000002,0.10954451150103323,0.18594695799189798,0.16974557231938012
10,entropy,50.0,5,1,0.8,0.8594915254237288,0.009865998667833114,1.0,0.0,0.06666666666666667,0.06085806194501846,0.12000000000000002,0.10954451150103323,0.18594695799189798,0.16974557231938012
10,entropy,50.0,5,1,0.9,0.8494915254237287,0.0011369837173727689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,entropy,50.0,5,2,0.1,0.5789265536723164,0.06394971132239974,0.2573900660742766,0.025801690493834652,0.9333333333333333,0.09938079899999067,0.4017039697890762,0.027767726919871828,0.3270864453027823,0.0450869800490515
10,entropy,50.0,5,2,0.2,0.7826553672316384,0.07150481446373735,0.41323285836073553,0.10057627227930478,0.8666666666666666,0.0929622251704528,0.5545160549096082,0.09646230949516586,0.4923249053578852,0.11868390405981225
10,entropy,50.0,5,2,0.30000000000000004,0.862824858757062,0.05208345542454328,0.5817016317016317,0.200193443486986,0.5333333333333333,0.1448711645600588,0.5436007130124777,0.14381092261792047,0.4728950011777938,0.1730594773088431
10,entropy,50.0,5,2,0.4,0.8761581920903956,0.048381262825745584,0.6892857142857143,0.29222492734752337,0.37777777777777777,0.16850834320114558,0.47288593759181996,0.21120019052569725,0.4422096774797198,0.2345186062196556
10,entropy,50.0,5,2,0.5,0.8561581920903955,0.03849661713017103,0.64,0.3507135583350036,0.2,0.09296222517045283,0.29920079920079923,0.14384573721932653,0.2946739749726664,0.20165699133583015
10,entropy,50.0,5,2,0.6,0.85954802259887,0.01883081443489027,0.8,0.29814239699997197,0.13333333333333333,0.09296222517045283,0.21272727272727274,0.14565012104152988,0.2402560698011687,0.1779334038823854
10,entropy,50.0,5,2,0.7000000000000001,0.8628813559322033,0.007267082982082104,1.0,0.0,0.08888888888888888,0.049690399499995326,0.16,0.08944271909999159,0.24784540405091526,0.13854991184367327
10,entropy,50.0,5,2,0.8,0.8528248587570622,0.007815726176416373,1.0,0.0,0.02222222222222222,0.049690399499995326,0.04,0.0894427190999916,0.06198231933063266,0.1385966794263939
10,entropy,50.0,5,2,0.9,0.8494915254237287,0.0011369837173727689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,gini,10.0,2,1,0.1,0.572090395480226,0.05440746900432163,0.25925399962341594,0.02283286300317807,0.9777777777777779,0.04969039949999535,0.4090671405618579,0.026914152086936403,0.34747390092811253,0.034007476938621786
10,gini,10.0,2,1,0.2,0.7224293785310734,0.02755475601677371,0.33088460281137627,0.02984676159064397,0.8222222222222222,0.09938079899999064,0.47096829640947285,0.04183247295791063,0.3899883169810283,0.06428044337998365
10,gini,10.0,2,1,0.30000000000000004,0.8493785310734463,0.032030335895341246,0.5170634920634921,0.09519261480190773,0.5333333333333334,0.04969039949999535,0.519234360410831,0.05038816980978263,0.43448374286559516,0.06558387471290107
10,gini,10.0,2,1,0.4,0.8528813559322034,0.024434946605134497,0.5161111111111112,0.08278523456346788,0.4666666666666666,0.09296222517045286,0.4870863433092535,0.08236475751072998,0.40432750614669277,0.09165531276637946
10,gini,10.0,2,1,0.5,0.8627683615819208,0.030542719846868436,0.6133333333333333,0.2467567403109566,0.31111111111111106,0.09296222517045284,0.4066666666666666,0.11672010437983645,0.3657891657043844,0.15384794306069235
10,gini,10.0,2,1,0.6,0.8594915254237288,0.03050690516992864,0.6833333333333333,0.32489314482696546,0.17777777777777776,0.09938079899999064,0.2737995337995338,0.14405439758978614,0.28877046229059733,0.1774210877541072
10,gini,10.0,2,1,0.7000000000000001,0.8561581920903955,0.009648867372810744,0.9,0.22360679774997896,0.06666666666666667,0.06085806194501846,0.11636363636363636,0.10648400337706417,0.1603682063857294,0.15542770100603653
10,gini,10.0,2,1,0.8,0.8561581920903955,0.009648867372810744,0.9,0.22360679774997896,0.06666666666666667,0.06085806194501846,0.11636363636363636,0.10648400337706417,0.1603682063857294,0.15542770100603653
10,gini,10.0,2,1,0.9,0.8528248587570622,0.007815726176416418,1.0,0.0,0.02222222222222222,0.049690399499995326,0.04,0.0894427190999916,0.06198231933063266,0.13859667942639392
10,gini,10.0,2,2,0.1,0.5786440677966102,0.05649244330467089,0.25632813705818797,0.029855573214716078,0.9333333333333332,0.060858061945018485,0.4018481725850693,0.04166397277125008,0.3234532571393862,0.07243822664318998
10,gini,10.0,2,2,0.2,0.7224858757062147,0.07566288075922922,0.3250624375624376,0.07885328232320821,0.7333333333333333,0.18592445034090566,0.44479102384291724,0.0978615124753816,0.346271922644293,0.13639354229771733
10,gini,10.0,2,2,0.30000000000000004,0.8361016949152542,0.05944814413508366,0.47945054945054943,0.17160001289215104,0.5333333333333333,0.1987615979999813,0.49126116849902013,0.17193685690486155,0.4054292889921817,0.19435651680485208
10,gini,10.0,2,2,0.4,0.8528248587570622,0.03214510534882319,0.5247619047619048,0.1464005006001131,0.3333333333333333,0.1111111111111111,0.4039194139194139,0.12200205463454615,0.3379927349173014,0.13855946858276924
10,gini,10.0,2,2,0.5,0.862824858757062,0.022146424242711633,0.7166666666666666,0.29814239699997197,0.17777777777777776,0.09938079899999064,0.27473193473193475,0.13105018661533316,0.2999706716193753,0.1498822342374213
10,gini,10.0,2,2,0.6,0.8661016949152543,0.021571824478947194,0.8,0.4472135954999579,0.13333333333333333,0.09296222517045283,0.2254545454545455,0.15026148008286827,0.2896402473180391,0.204047223164739
10,gini,10.0,2,2,0.7000000000000001,0.862824858757062,0.008590543642372103,1.0,0.0,0.08888888888888888,0.04969039949999532,0.16,0.08944271909999159,0.24792927732253064,0.1385966794263939
10,gini,10.0,2,2,0.8,0.8594915254237288,0.009865998667833114,1.0,0.0,0.06666666666666667,0.06085806194501846,0.12000000000000002,0.10954451150103323,0.18594695799189798,0.16974557231938012
10,gini,10.0,2,2,0.9,0.8494915254237287,0.0011369837173727689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,gini,10.0,5,1,0.1,0.5484180790960452,0.06725228757577253,0.24704356417605058,0.03680050043307162,0.9555555555555555,0.060858061945018485,0.39188594646990865,0.048759468395826004,0.31514726435374757,0.07817832027190766
10,gini,10.0,5,1,0.2,0.7224293785310735,0.0749691649296898,0.32886877828054295,0.07617576840103882,0.7555555555555555,0.14487116456005886,0.4549602122015915,0.09199998053432173,0.35810541563336534,0.12980408632498486
10,gini,10.0,5,1,0.30000000000000004,0.8528248587570622,0.032145105348823234,0.5198412698412698,0.10117102209509489,0.5111111111111111,0.09938079899999065,0.511577964519141,0.08891835657779307,0.42786464748749153,0.10491720793091619
10,gini,10.0,5,1,0.4,0.8594915254237288,0.02555178047160785,0.5599999999999999,0.14335627090630976,0.4,0.06085806194501846,0.46340336134453786,0.07889157577816588,0.39418510371359294,0.10275806827596526
10,gini,10.0,5,1,0.5,0.8627683615819208,0.03479418792588884,0.6123809523809525,0.27826804806869887,0.31111111111111106,0.12171612389003691,0.4026190476190476,0.15364154914469838,0.3643239585158634,0.1847425979834612
10,gini,10.0,5,1,0.6,0.8561016949152542,0.030841843614887798,0.65,0.4873397172404482,0.13333333333333333,0.09296222517045283,0.21622377622377625,0.1535967463427054,0.24262755175870881,0.22428488594383617
10,gini,10.0,5,1,0.7000000000000001,0.8494915254237287,0.020444055337438274,0.8,0.4472135954999579,0.04444444444444444,0.06085806194501846,0.08,0.10954451150103323,0.10836310963649502,0.18672357278042023
